course id,course type,course code,,,,,
1,waivable introductory,CSE6040,,,,,
2,waivable introductory,ISYE6501,,,,,
3,waivable introductory,MGT8803,,,,,
4,waivable introductory,MGT6753,,,,,
5,required,CSE6242,,,,,
6,required,MGT6203,,,,,
7,required,CSE6748,,,,,
8,required,ISYE6748,,,,,
9,required,MGT6748,,,,,
10,required,CSE6740,,,,,
11,required,CS7641,,,,,
12,required,ISYE6740,,,,,
13,b-electives,CS6730,,,,,
14,b-electives,ECON8803WB2,,,,,
15,b-electives,MGT6046,,,,,
16,b-electives,MGT6074,,,,,
17,b-electives,MGT6078,,,,,
18,b-electives,MGT6090,,,,,
19,b-electives,MGT6214,,,,,
20,b-electives,MGT6311,,,,,
21,b-electives,MGT6655,,,,,
22,b-electives,MGT6726,,,,,
23,c-electives,CS3510,,,,,
24,c-electives,CS4400,,,,,
25,c-electives,CS6220,,,,,
26,c-electives,CP6514,,,,,
27,c-electives,CS6515,,,,,
28,c-electives,CS6601,,,,,
29,c-electives,CS6730,,,,,
30,c-electives,CS7641,,,,,
31,c-electives,CS7643,,,,,
32,c-electives,CS7650,,,,,
33,c-electives,CS7750,,,,,
34,c-electives,CS8803MDS,,,,,
35,c-electives,CS8803NLP,,,,,
36,c-electives,CS8803SMR,,,,,
37,c-electives,CSE6010,,,,,
38,c-electives,CSE6140,,,,,
39,c-electives,CSE6230,,,,,
40,c-electives,CSE6643,,,,,
41,c-electives,CSE6644,,,,,
42,c-electives,CSE6740,,,,,
43,c-electives,CSE7750,,,,,
44,c-electives,CSE8803DSN,,,,,
45,c-electives,CSE8803DLT,,,,,
46,c-electives,CSE8803EPI,,,,,
47,c-electives,ISYE6740,,,,,
48,c-electives,ISYE8812ZIA,,,,,
49,s-electives,CS7641,,,,,
50,s-electives,CSE6740,,,,,
51,s-electives,JSYE6402,,,,,
52,s-electives,ISYE6404,,,,,
53,s-electives,ISYE6405,,,,,
54,s-electives,ISYE6412,,,,,
55,s-electives,ISYE6413,,,,,
56,s-electives,ISYE6740,,,,,
57,s-electives,ISYE6805,,,,,
58,o-electives,ISYE6333,,,,,
59,o-electives,ISYE6334,,,,,
60,o-electives,ISYE6645,,,,,
61,o-electives,ISYE6650,,,,,
62,o-electives,ISYE6663,,,,,
63,o-electives,ISYE6669,,,,,
64,o-electives,ISYE8803PTA,,,,,
65,o-electives,ISYE8813NEM,,,,,
66,o-electives,ISYE8813VAN,,,,,
67,o-electives,ISYE8813ZIA,,,,,
68,a-electives,CP6514,,,,,
69,a-electives,CP8853,,,,,
70,a-electives,CP6581,,,,,
71,a-electives,ISYE6202,,,,,
72,a-electives,ISYE6335,,,,,
73,a-electives,ISYE7203,,,,,
74,a-electives,ISYE8813THO,,,,,
75,a-electives,ISYE8812ZIA,,,,,